"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"Johnnie Walker Black Label","8.28","0.46","22","$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Gold Label Reserve","8.28","0.33","16","$$$$","Scotch-like","","","Scotland","Blend"
"Jameson Caskmates","8.27","0.56","7","$$","Scotch-like","","","Ireland","Blend"
"Black Bottle (pre-2013)","8.24","0.50","13","$$","Scotch-like","","","Scotland","Blend"
"Compass Box Asyla","8.23","0.49","12","$$$","Scotch-like","","","Scotland","Blend"
"Chivas Regal 18yo","8.21","0.54","13","$$$$","Scotch-like","","","Scotland","Blend"
"Bain's Cape Mountain Whisky","8.20","0.49","7","$$","Scotch-like","","","South Africa","Grain"
"Suntory Toki","8.18","0.45","6","$$$","Scotch-like","","","Japan","Blend"
"The Irishman Original Clan Irish Whiskey","8.17","0.21","4","$$","Scotch-like","","","Ireland","Blend"
"Kakubin (Suntory Whisky)","8.16","0.85","4","$$","Scotch-like","","","Japan","Blend"
"Famous Jubilee","8.15","0.12","3","$$","Scotch-like","","","Scotland","Blend"
"Teeling Poitin","8.14","0.24","5","$$","Scotch-like","","","Ireland","Blend"
"Kilbeggan 8yo Single Grain (Greenore)","8.13","0.38","11","$$","Scotch-like","","","Ireland","Grain"
"Powers Signature","8.13","0.60","3","$$$","Scotch-like","","","Ireland","Blend"
